mdl,category,sta,sta_s,ata,ata_s,cost_5,cost_15,cost_30,cost_60
B744,Heavy,07:42:00,27720,07:42:00,27720,11.55,42.7,107.38,296.35
B77W,Heavy,07:44:00,27840,07:44:00,27840,14.8,54.43,136.47,375.03
B744,Heavy,07:45:00,27900,07:49:59,28199,11.55,42.7,107.38,296.35
B77W,Heavy,07:46:00,27960,07:46:00,27960,14.8,54.43,136.47,375.03
A319,Medium,07:50:00,28200,07:42:15,27735,3.83,14.17,35.67,97.5
A320,Medium,07:50:00,28200,07:34:56,27296,4.33,15.83,39.83,110.17
XXXX,Light,07:54:00,28440,07:54:00,28440,1.0,1.0,1.0,1.0
CRJ7,Medium,07:55:00,28500,07:44:58,27898,1.98,7.35,18.55,51.32
XXXX,Light,07:57:00,28620,07:57:00,28620,1.0,1.0,1.0,1.0
XXXX,Light,07:59:00,28740,07:59:00,28740,1.0,1.0,1.0,1.0
E145,Medium,08:00:00,28800,07:48:52,28132,1.43,5.32,13.45,37.27
A319,Medium,08:00:00,28800,07:48:27,28107,3.83,14.17,35.67,97.5
B77W,Heavy,08:01:00,28860,08:01:00,28860,14.8,54.43,136.47,375.03
B772,Heavy,08:02:00,28920,08:02:00,28920,8.72,32.35,81.57,225.9
B772,Heavy,08:02:00,28920,08:02:00,28920,8.72,32.35,81.57,225.9
XXXX,Light,08:04:00,29040,08:04:00,29040,1.0,1.0,1.0,1.0
A320,Medium,08:05:00,29100,08:04:54,29094,4.33,15.83,39.83,110.17
B772,Heavy,08:07:00,29220,08:07:00,29220,8.72,32.35,81.57,225.9
A333,Heavy,08:10:00,29400,08:01:27,28887,7.48,27.78,70.07,194.08
XXXX,Light,08:10:00,29400,08:10:00,29400,1.0,1.0,1.0,1.0
